Week,T_max_mean[C],T_min_mean[C],Max_dewp[C],Min_dewp[C]
1,19.8,4.6,-0.7,-3.6
2,20,4.7,-2.4,-5.7
3,23.2,8.6,3.9,-4.8
4,20,7.9,7.9,0.2
5,23.3,8.3,2.7,-3.8
6,22.1,6.5,2,-8
7,22.1,7.6,2.1,-4.5
8,24.7,9.3,0.7,-4.6
9,24.6,7.9,-0.5,-11.5
10,28.2,12.5,2.7,-1.6
11,22.8,9.7,9.5,2.3
12,24.7,11,3,-2.5
13,26.9,11.3,1.8,-6.2
14,32.4,15.6,1.4,-4.4
15,30.1,14.9,2.7,-2.1
16,31.1,14.9,0,-6.9
17,34.2,17.6,3.5,-1.5
18,37.5,20,1.3,-1.6
19,38.3,21.7,3.5,-3.5
20,36.8,21.4,3.8,-1.8
21,35,18.8,-2.9,-8.4
22,41.2,24.9,4.5,-1.7
23,40.5,25.3,2.8,-5.3
24,43.3,25.3,2.9,-6.2
25,43.1,27.6,7.9,2.9
26,42.5,27.9,8.3,1.8
27,42.6,28.4,15.7,6.2
28,44.2,30.7,15.1,12.4
29,42.2,30.8,14.6,11.7
30,39.6,26.9,18.9,13.8
31,44.6,30.7,16.7,10.3
32,41.8,28.5,14.5,9.7
33,41.6,27.8,17.5,15.2
34,42.7,28.3,17,11.1
35,41.5,28.7,18.7,12.6
36,42.4,28.3,17,11.2
37,40,24.9,9.4,3.5
38,40.3,25,12.1,4.7
39,37,23.3,11.6,6.8
40,37.6,21.5,7.5,2.1
41,34,18.6,6.7,-1.1
42,34.3,17,3.5,-1.7
43,31.3,16.5,7.4,-2.2
44,31.4,14.8,2.9,-0.7
45,30.3,14.8,3.5,0.3
46,28.5,11,-1.8,-3.2
47,28.6,13.7,3,-3.1
48,25,8.9,-0.8,-4
49,24.1,8.4,-2.8,-5.5
50,21,7.5,7.4,-3.7
51,20.8,5.3,-0.1,-4.2
52,19.4,7.1,5,-2.9
