DateTime,Temperature,Dew Point,Relative Humidity
10/31/2023 17:00,80.6,17.85,9.41
10/31/2023 17:50,78.8,19.6,10.79
10/31/2023 18:35,75.2,21.27,13.12
10/31/2023 19:20,73.4,24.82,16.22
10/31/2023 20:05,71.6,24.78,17.23
10/31/2023 20:51,69.98,24.04,17.66
10/31/2023 21:40,69.8,24.76,18.32
10/31/2023 22:25,69.8,24.76,18.32
10/31/2023 23:10,69.8,22.96,16.98
10/31/2023 23:55,69.8,21.18,15.74
11/1/2023 0:45,66.2,21.11,17.81
11/1/2023 1:30,66.2,21.11,17.81
11/1/2023 2:15,66.2,21.11,17.81
11/1/2023 3:00,66.2,21.11,17.81
11/1/2023 3:50,64.4,21.09,18.96
11/1/2023 4:35,64.4,21.09,18.96
11/1/2023 5:20,62.6,22.86,21.79
11/1/2023 6:05,60.8,24.64,25.04
11/1/2023 6:51,60.98,22.84,23.07
11/1/2023 7:40,64.4,24.67,22.06
11/1/2023 8:25,66.2,21.11,17.81
11/1/2023 9:10,71.6,21.22,14.81
11/1/2023 9:55,73.4,19.45,12.9
11/1/2023 10:45,75.2,21.27,13.12
11/1/2023 11:30,77,21.33,12.36
11/1/2023 12:15,78.8,21.36,11.65
11/1/2023 13:00,80.6,23.18,11.85
11/1/2023 13:50,80.6,23.18,11.85
11/1/2023 14:30,80.6,23.18,11.85
11/1/2023 15:15,82.4,23.23,11.18
11/1/2023 16:00,82.4,23.23,11.18
11/1/2023 16:50,80.6,23.18,11.85
11/1/2023 17:35,80.6,23.18,11.85
11/1/2023 18:20,78.8,24.94,13.56
11/1/2023 19:05,75.2,26.65,16.46
11/1/2023 19:51,73.04,28.02,18.77
11/1/2023 20:40,75.2,26.65,16.46
11/1/2023 21:25,69.8,28.35,21.26
11/1/2023 22:10,66.2,28.29,24.06
11/1/2023 22:55,66.2,28.29,24.06
11/1/2023 23:45,66.2,30.09,25.89
11/2/2023 0:30,64.4,30.06,27.56
11/2/2023 1:15,60.8,31.84,33.65
11/2/2023 2:00,62.6,30.06,29.36
11/2/2023 2:50,62.6,30.06,29.36
11/2/2023 3:35,60.8,30.04,31.28
11/2/2023 4:20,59,30.02,33.35
11/2/2023 5:05,59,30.02,33.35
11/2/2023 5:51,57.92,29.84,34.41
11/2/2023 6:40,59,30.02,33.35
11/2/2023 7:25,60.8,28.24,29.06
11/2/2023 8:10,64.4,28.27,25.61
11/2/2023 8:55,69.8,26.55,19.74
11/2/2023 9:45,73.4,26.62,17.48
11/2/2023 10:30,78.8,28.51,15.74
11/2/2023 11:15,78.8,26.71,14.61
11/2/2023 12:00,80.6,26.76,13.78
11/2/2023 12:50,82.4,26.8,12.99
11/2/2023 13:35,82.4,26.8,12.99
11/2/2023 14:20,86,26.89,11.58
11/2/2023 15:05,84.2,23.29,10.55
11/2/2023 15:51,87.08,24.42,10.07
11/2/2023 16:40,84.2,25.07,11.38
11/2/2023 17:25,82.4,23.23,11.18
11/2/2023 18:10,80.6,24.96,12.78
11/2/2023 18:55,78.8,26.71,14.61
11/2/2023 19:45,75.2,26.65,16.46
11/2/2023 20:30,71.6,28.36,20
11/2/2023 21:15,71.6,28.36,20
11/2/2023 22:00,71.6,26.58,18.57
11/2/2023 22:50,69.8,28.35,21.26
11/2/2023 23:35,66.2,31.87,27.85
11/3/2023 0:20,66.2,31.87,27.85
11/3/2023 1:05,64.4,31.87,29.65
11/3/2023 1:51,62.96,31.86,31.18
11/3/2023 2:40,62.6,30.06,29.36
11/3/2023 3:25,60.8,28.24,29.06
11/3/2023 4:10,60.8,30.04,31.28
11/3/2023 4:55,60.8,28.24,29.06
11/3/2023 5:45,60.8,28.24,29.06
11/3/2023 6:30,60.8,28.24,29.06
11/3/2023 7:15,60.8,28.24,29.06
11/3/2023 8:00,64.4,28.27,25.61
11/3/2023 8:50,69.8,26.55,19.74
11/3/2023 9:35,71.6,28.36,20
11/3/2023 10:20,75.2,26.65,16.46
11/3/2023 11:05,78.8,24.94,13.56
11/3/2023 11:51,80.06,26.2,13.71
11/3/2023 12:40,84.2,25.07,11.38
11/3/2023 13:25,84.2,25.07,11.38
11/3/2023 14:10,84.2,25.07,11.38
11/3/2023 14:55,87.8,25.18,10.15
11/3/2023 15:45,86,25.11,10.74
11/3/2023 16:30,86,25.11,10.74
11/3/2023 17:15,84.2,23.29,10.55
11/3/2023 18:00,84.2,25.07,11.38
11/3/2023 18:50,82.4,25.02,12.06
11/3/2023 19:35,75.2,26.65,16.46
11/3/2023 20:20,75.2,28.42,17.72
11/3/2023 21:05,73.4,28.4,18.82
11/3/2023 21:51,73.94,28.04,18.21
11/3/2023 22:40,69.8,28.35,21.26
11/3/2023 23:25,68,33.71,28.14
11/4/2023 0:10,66.2,33.67,29.94
11/4/2023 0:55,66.2,33.67,29.94
11/4/2023 1:45,62.6,35.46,36.47
11/4/2023 2:30,62.6,30.06,29.36
11/4/2023 3:15,60.8,30.04,31.28
11/4/2023 4:00,62.6,28.26,27.28
11/4/2023 4:50,60.8,30.04,31.28
11/4/2023 5:35,62.6,26.46,25.32
11/4/2023 6:20,62.6,26.46,25.32
11/4/2023 7:05,60.8,26.44,26.99
11/4/2023 7:51,62.96,27.9,26.54
11/4/2023 8:40,66.2,26.49,22.34
11/4/2023 9:25,71.6,28.36,20
11/4/2023 10:10,75.2,23.07,14.16
11/4/2023 10:55,78.8,24.94,13.56
11/4/2023 11:45,82.4,25.02,12.06
11/4/2023 12:30,82.4,23.23,11.18
11/4/2023 13:15,84.2,21.51,9.78
11/4/2023 14:00,87.8,21.61,8.72
11/4/2023 14:50,87.8,19.85,8.08
11/4/2023 15:35,87.8,21.61,8.72
11/4/2023 16:20,87.8,23.4,9.41
11/4/2023 17:05,87.8,25.18,10.15
11/4/2023 17:51,86,24.39,10.42
11/4/2023 18:40,80.6,24.96,12.78
11/4/2023 19:25,82.4,25.02,12.06
11/4/2023 20:10,77,28.47,16.7
11/4/2023 20:55,75.2,30.22,19.08
11/4/2023 21:45,71.6,30.16,21.53
11/4/2023 22:30,69.8,33.73,26.46
11/4/2023 23:15,69.8,31.93,24.61
11/5/2023 0:00,68,31.91,26.18
11/5/2023 0:50,64.4,30.06,27.56
11/5/2023 1:35,64.4,30.06,27.56
11/5/2023 2:20,64.4,28.27,25.61
11/5/2023 3:05,62.6,28.26,27.28
11/5/2023 3:51,62.96,25.92,24.45
11/5/2023 4:40,64.4,26.47,23.78
11/5/2023 5:25,62.6,28.26,27.28
11/5/2023 6:10,62.6,26.46,25.32
11/5/2023 6:55,62.6,26.46,25.32
